class_0,class_1,text
0,1,time comes know late
0,1,gotta feeling partlishly took fomr mib anime ep form american unless took one story really different
1,0,look ways relevant good video perspective consider order avoid
0,1,lot removing going bucket teeth removal maybe
1,0,pastor morgan brought powerful encouraging word us service really enjoyed god glory
0,1,supposed rhyme didnt
1,0,absolutely awesome impressive
0,1,yeah minute half definitely equals 30 sec
0,1,yeathe senior cia analyst saddams era definitely credible source hes last person commenting iraq anyways im done argument good day sir
1,0,yes agree 07 ego switched angel a1 kid local field one shot smoother a1 wich belive 40 smoother ego adays guns 300 20bps box like feel thats went angel beacuse love way feel
1,0,loved video joey awesome
1,0,high quality game cannot believe lot greater mw1 ive attained 2nd prestige im delighted got game yesterday evening mw2forfreeyinfo replace im undoubtedly annihilating people
1,0,epic song fo sho
1,0,favorite song told guitar
1,0,reminds old timers hills awesome
1,0,hahahhahaha thing smog eyesalhadow put project hit pan like month use certian eyeshadows like uds smog used literally everyday september got obsessed like going hit pan forever anyways totally feel ya basically crazy
1,0,love looooooooot hes ideal one
1,0,love way better original
0,1,fuck lyrics suck manbut song greatsoad forever
1,0,phenomenon thousand foot krutch
0,1,jeez starting think wouldnt post tage lol thanks im description
1,0,ian gillan best
0,1,looks like guna see kenpachi couple episodes
1,0,chocoolate
0,1,oh god died
1,0,eman 1st best 3rd 2nd best 1st 3rd best last
1,0,omg old youngest oneshes really good guitar dgreat job
1,0,fantastic quality thanks much
1,0,really cool hope publish book id love read dont mind could tell name first song please thankyou5 stars btw
0,1,listen fuck something yorkshire mean put front random fucking words desription yes fucking much subtitles coronation street apparently lancastrians time aswell
1,0,hella dope
0,1,would scientists falssified withheld evidence contradicted global warming theory yes
0,1,watever kid dont know wat fuk ur talking ur stupid would say ur username osiris
1,0,thats opening video
1,0,favorite myrtha
1,0,superba
1,0,love scene ff best couple
1,0,instant classic boon playing synths
1,0,tears eyes wish wouldve talked least little secretariats relationship eddie sweat indespensible groom seriously cannot wait movie come fall
0,1,repitition change change change change yes yes yes lmbo theyre yes true say end near ive never seen many people mind controlled nwo put power smart move part stupid people think diff bush work ppl
0,1,would get raped cross fire
0,1,lmfao 9prelude
1,0,wanna help go thedenanproject
1,0,think black holes definately dont exist think may may exist
1,0,like check quantic
1,0,thanks
1,0,love tennis match great video ty
1,0,haha theyre hilarious together thank subbing
1,0,nice vid
1,0,hes sweet himmmm
1,0,looked nice
1,0,one favorites joanna shes simply amazing musician
1,0,shes beautiful
1,0,simply incredible
1,0,compliment beautiful eyes pretty long lashes
1,0,nice job
1,0,called techno words make song important whole wide world narrow bridge important thing worry
0,1,fucking cunts
1,0,talented also cousin lol
0,1,remember inalienable rights granted us god man immune brainwashing documentary uncovered crazy psychiatrists proved inmates often running asylum bible could accurate describing human heart wicked deceitful selfish play mind games try dominate families also internationally hope resides humility love god
0,1,tommo cockflap theres shitall chance music cancelled
0,1,npns plug sale
0,1,damn clowns faulttwo fucking dollars man
1,0,jolly good show
1,0,video really cool
1,0,lol onion great
1,0,clap favorite partbesides build 427 release 445 gives goosebumps
0,1,ads becoming parodies
1,0,thanks posting bernstein mahler movements beautiful music interpretation also extremely fine filming find thank
1,0,get animeonlinecm want good
1,0,agree last minute half musical perfection listen genres ive never heard anything beautiful sounds imagine played heaven joke really shows evolution band
1,0,hearns way love sweetpea hearns big hitter could outbox hell outta guys proven fact loss decision age 35 hearns may best chin guys koed big punchers something pernell imohearns ud
1,0,love man keep great work let food medicine medicine food hippocratesog gangsterps read eatpray love
0,1,weird spaz
1,0,tht great movie excited meat emily katharine thunmbs werewolf rlly surprised clue werewolf movie thought would kind like carrie bc theyw outcasted makes sense jst think
0,1,datwaz rubbish never seen something rubbish balddyyy
1,0,child talent love work soulful vibekathryn keats
0,1,come guys hinted
1,0,dont fibromyalgia suffer depression insomnia depression take generic prozac fluoxetin take 50mg insomnia take generic ambien zolpidem 1030mg usually im asleep within 30 minutes taking zolpidem extremely helpful hope able help way
1,0,love synthesizers song uplifting beautiful
1,0,switch back tail vince near end fucken sickhopefully gets turned pro chocolate vid drops
1,0,masterfully done kurt angle thats one best wrestling business today stone cold thought angle beat booker nowhere within blink eye turned tables became wcw champion well done kurt angle
0,1,omg 47 views
1,0,perfect presentation full package
1,0,id drummer
1,0,ba ba booyah go spouse
1,0,kidding made fast ppl look slow mean ran darrell green one game considered many ppl fastest player ever
1,0,one greatest displays human spirit history mankind world look chile inspiration impossible trapped miners rescue workers showed world unity
0,1,usual leftie foaming mouth crap national union teachers words commies hate race thank god bnp come nick lets get westminster really sicken
1,0,movie better critics said ending far fetch thats hollywood baby
1,0,ahh im first comment aswelllove roddie
0,1,maybe ptop multipoint interop codian mcu transcode everything takes alot 30ms transcode 720p try 300ms
1,0,hey seen tractor last week got gold key tour wach 9430 built
1,0,ideal standard 1980s batch handle
0,1,fucking stupid seriously believe worldwide flood like millions different species animals skipped onto ark didnt kill eachother enough food specialized diets 40 days appropr
1,0,thats amazing babies young children swim
1,0,even though didnt know time living silver lake early 20s one best experiences life going hard times back hadnt tolerant laid back community troubles would metastasized forever grateful community silver lake giving space needed become productive member society today
1,0,keep coming back performance magnificent piece surely one noblest organ repertoire combines youthful exuberance remarkably mature msical insight fine organ would love hear repeat real cavaillcoll st sulpice st ouen example
1,0,nice
1,0,tribe effen best
1,0,yea hope shes alright
1,0,absolutely awesome year old amazing able memorize whole routine age however must agree lot posts poor neck spine take lot impact lands head like bet doctor would cringe saw hopefully wont neck back pain later life said awesome little lady
1,0,wow blonde girl super yummy
1,0,love song video great
1,0,problem
1,0,good wonder nick going say
1,0,way played rey sd team tourney years ago 98 ish ahart love shorts moustache combo diggin old skool vids
0,1,try cooking giving presentation dick
0,1,bailout necessary evil prevent economic armageddon however bailout immediately followed kind legislation proposed bernie force treasury identify banks dangerous country break teddy rooseveltstyle taking bailout banks showed dont deserve stay intact
0,1,earth day celebrated going local deli purchasing many sandwiches possible throwing trash taking styrofoam boxes digging deep earth various ity parks awesome felt good afterward knew done part day also took trash garbage strewn around many school gardens could findit truly wonderful earth day yay
1,0,glad enjoyed thanks much kind words
1,0,try warpin rodney mullen tech skate style
1,0,love kid chris son maybe
1,0,dude really good indeed theme music raped ears exactly kind thing needs get posted often bravo
1,0,wonderful
1,0,omg ideaim soooo loving wes ive grass since 15 preferring bg festivals rock concerts loved birchmere back home
1,0,good job
0,1,didnt ask watch comment shut aint fault thought porno something well srry dissapoint ya perv
0,1,youre horrible lol fucking clicker go die
1,0,227 jojo
0,1,bad audio
0,1,really dont like ten chances players waste rest chances 2nd prize
1,0,niceee
1,0,great video
0,1,give live cow right table ill carve want ride rest home dum dadadumdadadum
1,0,awesome thanks drown trying hope get hopefully tomorrow
1,0,kim recommending kim sufficient enough get interested using modified snider investment method last years successfully impressed system builder financial advisor thanks goes kimsglen
1,0,like wouldnt believe man makes want buy bbb store
0,1,um
1,0,awesome enjoy cod game play wayyy
1,0,hey really cool great background musici also learned need set camera instead holding thanks teaching old dog net
0,1,pufffffff blah blah blah girl dadjerk
1,0,awesuuummm first comment
0,1,fml
1,0,watch mins
1,0,cool
1,0,cool video
0,1,playstation philips paid nintendo make cd addon nintendo decided cds future gaming yeah nintendo ahead time though always leaving foresight home dumped thus
1,0,love watching videos bs plus nice speaking voicehave tried food channel thanks
1,0,wow tv weird
1,0,cool david
0,1,dont believe bible codes certain heavenly father would said leave living word benefit blessing listen words oyu need doctorate history math
1,0,great info im excited see talks year get posted
1,0,inspiring
1,0,awesome
1,0,think know trumpet player excellent man man orchestra backing superb musical followed dynamicstrue professionals
1,0,artistic talented man
1,0,course thats fake tons interviews together absolutely love even extras dvd theyre goofing around
1,0,415 pretty cool moment
1,0,love song goog song
1,0,wonderful job
1,0,favorite part ending jack saying miss nice
0,1,knob wow old kid like 12 would mom say knew using kinda language go get life
1,0,yeah would able engage
0,1,raven needs cm back eric young sucks wanna leave tna g2 shitty wwe
1,0,great style really smooth clean
1,0,chicken yep 50 bucks
0,1,republican party dead lmao
1,0,awesome
1,0,favourite ballet second act best bit one thanks sharing
1,0,carlos lsd playing guitar actualy thought neck guitar turning snake fight fear play amazingly time fucking amazing
1,0,great fun rick fun host cracked also great questions
1,0,definitely open channel videos keep getting better better sense color balance amazing
1,0,robin hood favourite one hahaha
1,0,dara cute sexy 2ne1 like others group best cute pretty sexy unlike using effect 2ne1 everything sexy cute pretty hot cool talented go go go dara park 2ne1
1,0,song every country music fan relate sometime life thank great uploads
1,0,aretha sound definitely get work arethas background singer even demos aretha shes interesting wonder lives sings poor women men take
1,0,burned disc stuff like said problem says click button restart computer begin installation process click restart restarts thats installing occurs could help thanks great simple video instructions ill rate stars get working
0,1,hello brain
1,0,days moments pass us
0,1,apples taste good oranges taste good also summed stance two opposing issues work congress allow stereotype spineless unprincipled panderer one work
0,1,dizaster sucks
1,0,sex drugs rocknroll
0,1,couldnt libertarian believe way believe
1,0,new favorite super furry animals song
1,0,charmed lol
1,0,little kid heard song moms cds dont remember old remember didint understand words well fell love fell love music words small brain could pick great era music
1,0,great video steve remember first time read john muirs description ice cone amazed see eyes pretty cool love time lapse creek
1,0,thank
1,0,fantastic thanks posting rodsort
1,0,legit
1,0,gave chills excellent
0,1,wow expect civilized discourse kind pessimistic dualistic attitude reason responses seem dumb im pointing contradictory fallacies arguments responses
0,1,havent played since broke wrist last yearits still 100 yet
1,0,best video seen argument isthank
0,1,laureen cheated laureen cheated cheated fukin cheated
1,0,wow neon another episode uploading alot today
1,0,think im love lol
0,1,try make ur vids clear
0,1,dont
0,1,hmm would rather talking foreign affairs ball bushisms guygreat speech barack im sure another hundred years middleeast would reallllly help israel hah yeah right
1,0,love amvomg thats tv
1,0,good job
1,0,luv film
1,0,aww shes cute ny little brother
1,0,wow sickest commentary ever hes playing assasins creed gow2 loool
0,1,origionaly said obama waisting tax payers money spending waaay much spending way
1,0,best pcts live show ever
0,1,snoops fucking baked
1,0,cool good job dope tracc straight shitthanks tha upload
1,0,wow lyrics awesome love key awesome always entertaining
1,0,lve daa song
1,0,youll always mean much methanks awonderful friendill keep right proving good friends meant last
0,1,jack seemingly nude hes scared xd
1,0,completely fell youyou see namibia
1,0,florence favorite city entire worldand believe ive around love love love slow deliberate filming favorite city wll visit post ofteand wish back land city love gracie
0,1,freak
1,0,looks damn good cant wait see
1,0,yippy telling brother nutnfancy withdrawals week since last vid
1,0,good
1,0,go girl everybody diva asshat ceos might get act together
1,0,better shiny toy guns
1,0,awesome
1,0,like bit jumpes floor dosnt blow blows gets back blows second time jumps well 321410
0,1,past four years bayh collected 17 million pretax income exercised stock options two corporations actual income exercising stock options higher details one transaction publicly reported
1,0,alison moyets looking bloody terrific wowser
0,1,cavs terrible bench pietrus outscored whole bench hes bench warmer well cavs team breaks playoffs next season see lebron knicks
1,0,tapthattoast jeezechesseis like super star jeezejess jeezecheese
1,0,conans class act
1,0,damn nice
1,0,haha wow
1,0,awesome
1,0,beautiful dog dont worry like water find fun theres keeping believe darling cant help wet jump doesnt matter river puddle even bath
0,1,ssatish112233 another 23 yr old moron youtube dont know shit except hes white boy trying black lol got dre snoop joints lowrider lol youre fawkin disgrace country get clue read something like american history fawk moron
1,0,love busy college student get water soooo fast bring classes sit home drink diet coke haha bring water drink bored class love itanyways go girl stay busy good minds start eating calories keep doin everything else look great great new job congratsps love earrings
0,1,faggotcase closed
1,0,interesting vid really
1,0,youre good
1,0,thank posting quality awesome
1,0,man song truley amazing
1,0,yes catchy oxymoron
1,0,wow hadley really interesting
1,0,holly shit like
1,0,ive started running three times walking running walking going long haul hurts ive never seen happy jogger videos really help thanks much
1,0,looks realthankssahit
1,0,ok got watch today say love even music scene selection perfect tied together nicely like little effects made big difference one favorite videos tale two sis
1,0,vanessa rude seems like really cool guy vanessa also knowledgeable pretty cool chic
1,0,great catch comment dead org dead thats beautiful sightlove squirrel
1,0,actually watched order phoenix first time friday far superior third fourth installments glad chose yates direct remaining films certainly live standard set first two one thing music order phoenix wellwritten places arrangement way lost effect still good clear none compare williams
1,0,gorey beat jc miles
0,1,alan douche bag actually think hes charming witty enough win nat
0,1,wish could pull beard
1,0,thats awsome
0,1,sorry think wrong chris might messing around
0,1,cut lightning strike kill
1,0,love guy left us great music thanks sharing
1,0,good luck 2009 future present
0,1,ew derwin
1,0,rofl best version bohemian rhapsody ever
0,1,ah point stripped point poor people fucked rich people thats boils rich buy legislators make laws owned long go home watch game drink eat much well buy go job hate makes us miserable led right along path want us take like good little sheep
1,0,people tend forget pioneers even though tragedy
1,0,look videos lol xd
1,0,thats adorable congrats
1,0,lets chat
0,1,wtf go revision program get adverts
1,0,great know
0,1,one thing always see never see bear roach tiger beeing possesed demon humans thing eat sleep shit fuck wish animal seem ones problems start looking whole picture instead looking humans
1,0,love
1,0,xd lol always love 346
1,0,probably favorite line track
1,0,smart
